county_fips,votes_gop,votes_dem,total_votes,per_point_diff
53021,19086,11884,31739,0.2269132612873751
53023,973,330,1343,0.4787788533134773
53025,24326,10806,36069,0.3748371177465413
53027,19432,17161,37638,0.0603379563207396
53029,20967,29595,52075,-0.1656841094575132
53031,6324,17459,24572,-0.4531580660914863
53033,252193,832606,1122881,-0.5168962695067421
53035,59080,91731,155893,-0.2094449397984514
53037,14645,10810,26309,0.145767608042875
53039,7178,5917,13527,0.0932209654764544
53041,29322,14433,45112,0.3300452207838269
53043,5272,1678,7107,0.5056986070071761
53045,18127,17215,36502,0.0249849323324749
53047,11555,8466,20617,0.1498278119998059
53049,7010,6825,14178,0.0130483848215545
53051,5826,2461,8497,0.3960221254560433
53053,188194,235169,436685,-0.1075718195037612
53055,2890,9539,12939,-0.5138727876961126
53057,30765,36956,69837,-0.0886492833311855
53059,3961,3147,7314,0.1112934098988241
53061,161371,240099,415327,-0.1895566625815321
53063,145338,131163,284958,0.049744172825469
53065,19895,7492,28095,0.4414664531055348
53067,62282,95663,163637,-0.2039942066891962
53069,1757,1204,3053,0.1811333114968883
53071,15476,13106,29373,0.0806863446021857
53073,49213,83295,137006,-0.2487628279053472
53075,8699,10480,19845,-0.0897455278407659
53077,49368,36706,88280,0.1434299954689624
54001,5071,1199,6395,0.6054730258014074
54003,37580,17500,56102,0.3579195037610068
54005,6314,1641,8142,0.5739376074674527
54007,3991,1233,5313,0.5191040843214756
54009,6986,2621,9782,0.4462277652831732
54011,21229,13474,35429,0.2188884811877276
54013,2391,488,2936,0.6481607629427792
54015,2597,580,3240,0.6225308641975309
54017,2541,374,2956,0.733085250338295
54019,10910,4387,15620,0.4176056338028169
54021,1822,486,2344,0.5699658703071672
54023,4949,552,5568,0.789691091954023
54025,10517,4196,14996,0.4215124033075486
54027,8464,1890,10500,0.626095238095238
54029,9462,3360,13030,0.4683039140445127
54031,4997,1297,6411,0.5771330525659024
54033,20480,8402,29495,0.4094931344295643
54035,9907,2699,12822,0.5621587895804087
54037,16573,11967,29156,0.1579777747290437
54039,43352,30231,75239,0.1743909408684325
54041,5550,1372,7048,0.5927922814982974
54043,5770,1279,7187,0.624878252400167
54045,9500,1848,11469,0.6671898160258086
54047,4310,1036,5425,0.6035023041474654
54049,15881,8185,24634,0.3124137371113096
54051,9808,3186,13233,0.5004156275976726
54053,8232,2111,10547,0.5803546032047028
54055,18372,4851,23584,0.5733124151967436
54057,10247,2483,12904,0.601673899566026
54059,7325,1061,8490,0.737809187279152
54061,21084,19265,41452,0.0438820804786259
54063,5089,1155,6367,0.6178734097691221
54065,7009,1947,9097,0.5564471803891393
54067,7960,1919,10037,0.6018730696423233
54069,11593,6727,18689,0.260367060837926
54071,2687,680,3425,0.585985401459854
54073,2632,656,3348,0.5902031063321386
54075,2889,927,3901,0.50294796206101
54077,11176,2953,14426,0.5700124774712325
54079,19868,7124,27507,0.4633002508452394
54081,23644,6816,30966,0.5434347348705031
54083,8356,3008,11594,0.4612730722787648
54085,3473,517,4050,0.7298765432098766
54087,4189,1218,5521,0.538127150878464
54089,3931,1226,5264,0.5138677811550152
54091,5422,1694,7265,0.5131452167928424
54093,2669,890,3636,0.4892739273927393
54095,2991,554,3617,0.6737627868399226
54097,7633,2033,9859,0.5680089258545492
54099,11934,3532,15747,0.5335619483076142
54101,2478,479,2998,0.6667778519012675
54103,4718,1294,6168,0.5551232166018157
54105,2120,409,2581,0.6629213483146067
54107,26380,10317,37313,0.4304933937233672
54109,6503,980,7565,0.7300727032385987
55001,7763,4443,12853,0.2583054539796156
55003,4191,4612,8933,-0.0471286242023956
55005,16726,8941,26775,0.2907563025210083
55007,4860,6107,11204,-0.1112995358800427
55009,79132,67937,148960,0.0751544038668098
55011,5213,2765,8091,0.3025583982202448
55013,7008,3665,10807,0.3093365411307485
55015,19488,12927,32860,0.1996652465003043
55017,23399,14573,38400,0.22984375
55019,10481,4509,15315,0.3899444988573294
55021,17988,16388,34843,0.0459202709295985
55023,5113,3860,9084,0.1379348304711581
55025,85454,273995,364840,-0.5167772174103717
55027,33067,16518,50292,0.3290582995307405
55029,10099,10565,20896,-0.0223009188361408
55031,11732,13073,25165,-0.0532882972382277
55033,14726,10643,25674,0.1590324842252863
55035,27728,34400,63003,-0.1058997190609971
55037,2356,783,3158,0.4981000633312223
55039,37272,20495,58438,0.2870905917382525
55041,3382,1681,5095,0.3338567222767419
55043,15922,10966,27254,0.1818448668085418
55045,10843,10903,22026,-0.0027240533914464
55047,7458,3449,11033,0.3633644520982507
55049,6631,7750,14647,-0.0763978971803099
55051,2557,1487,4079,0.2623191958813434
