county_fips,state_name,county,population,ALAND_SQMI,pop_density
42111,Pennsylvania,Somerset,73255,1075.047,68.14120684956099
17183,Illinois,Vermilion,73179,898.319,81.4621531994759
35025,New Mexico,Lea,73154,4391.552,16.657892244017606
39145,Ohio,Scioto,73118,610.146,119.83689149810046
40125,Oklahoma,Pottawatomie,73011,787.793,92.67789888968295
18011,Indiana,Boone,72827,422.882,172.21589001187093
38035,North Dakota,Grand Forks,72764,1436.225,50.663370989921496
21047,Kentucky,Christian,72599,717.66,101.16071677395982
30049,Montana,Lewis and Clark,72580,3458.381,20.986698689357823
48497,Texas,Wise,72359,904.395,80.00818226549241
40037,Oklahoma,Creek,72353,949.894,76.16955154996242
18109,Indiana,Morgan,72202,403.833,178.79172826391107
28075,Mississippi,Lauderdale,71984,703.674,102.29737065743512
37069,North Carolina,Franklin,71962,491.802,146.32311377342913
01049,Alabama,DeKalb,71946,777.077,92.5854194629361
20161,Kansas,Riley,71710,609.66,117.6229373749303
37171,North Carolina,Surry,71407,532.644,134.06139935867108
35031,New Mexico,McKinley,71172,5451.064,13.056533550147273
25011,Massachusetts,Franklin,70922,699.208,101.43190581343464
47059,Tennessee,Greene,70919,622.169,113.98671422073424
12023,Florida,Columbia,70755,797.377,88.73468886110335
51199,Virginia,York,70590,104.701,674.2055949799907
55097,Wisconsin,Portage,70375,800.874,87.87274902169379
13285,Georgia,Troup,69821,414.009,168.64609223470987
41035,Oregon,Klamath,69812,5949.897,11.733312358180319
48203,Texas,Harrison,69584,900.059,77.31048742360224
48409,Texas,San Patricio,69519,693.321,100.26957210296528
27013,Minnesota,Blue Earth,69386,747.836,92.782374745265
45047,South Carolina,Greenwood,69329,455.604,152.16942783645447
38101,North Dakota,Ward,69232,2013.028,34.39197070284169
22045,Louisiana,Iberia,69194,574.741,120.39161987747525
37031,North Carolina,Carteret,68652,507.604,135.2471611728828
21185,Kentucky,Oldham,68600,187.294,366.2690742896195
13295,Georgia,Walker,68449,446.286,153.3747417575277
13047,Georgia,Catoosa,68356,162.162,421.52908819575487
46083,South Dakota,Lincoln,68286,577.293,118.28655466115127
35035,New Mexico,Otero,68235,6612.562,10.318995874821287
13255,Georgia,Spalding,68215,195.97,348.0889932132469
06033,California,Lake,68139,1255.082,54.29047663817981
26155,Michigan,Shiawassee,68061,530.967,128.1831074247552
20015,Kansas,Butler,67916,1429.716,47.50314048384435
45059,South Carolina,Laurens,67904,712.871,95.25426058852163
24001,Maryland,Allegany,67762,422.199,160.4977747460321
21145,Kentucky,McCracken,67584,248.786,271.65515744455075
36053,New York,Madison,67572,654.85,103.18698938688249
27131,Minnesota,Rice,67389,495.845,135.90739041434318
13103,Georgia,Effingham,67265,478.83,140.47783138065702
23003,Maine,Aroostook,67227,6671.136,10.077294181980399
26117,Michigan,Montcalm,67174,705.329,95.23782518512638
27035,Minnesota,Crow Wing,67113,998.359,67.22331345738357
53045,Washington,Mason,66968,959.553,69.790829688407
45055,South Carolina,Kershaw,66924,726.612,92.10417664448151
17199,Illinois,Williamson,66902,420.21,159.21087075509865
29187,Missouri,St. Francois,66864,451.886,147.96652253001864
28067,Mississippi,Jones,66839,694.845,96.19267606444602
13179,Georgia,Liberty,66826,516.463,129.39165051513856
26067,Michigan,Ionia,66706,571.32,116.75768395995237
55017,Wisconsin,Chippewa,66558,1008.355,66.00651556247551
40101,Oklahoma,Muskogee,66471,810.64,81.99817428204875
26103,Michigan,Marquette,66430,1809.051,36.720910576871525
18177,Indiana,Wayne,66377,401.755,165.21760774601435
18053,Indiana,Grant,66377,414.089,160.29645800781958
06069,California,San Benito,66056,1388.652,47.56843327197887
37193,North Carolina,Wilkes,65983,753.678,87.54799795137977
39013,Ohio,Belmont,65982,532.127,123.99671506989874
48427,Texas,Starr,65809,1223.179,53.80161039389983
05069,Arkansas,Jefferson,65780,872.346,75.4058596015801
55111,Wisconsin,Sauk,65759,831.587,79.07651274009815
04001,Arizona,Apache,65680,11198.313,5.8651691553897445
27027,Minnesota,Clay,65628,1045.176,62.79133849227308
36113,New York,Warren,65560,867.222,75.59771315764591
06103,California,Tehama,65520,2949.137,22.21666880853619
21199,Kentucky,Pulaski,65503,658.1,99.53350554626957
54033,West Virginia,Harrison,65407,416.008,157.22534182034963
39159,Ohio,Union,65293,431.711,151.24238205651466
42025,Pennsylvania,Carbon,65191,381.356,170.94525849862072
17001,Illinois,Adams,65166,855.151,76.20408559424008
39101,Ohio,Marion,65145,403.807,161.3270696149398
28073,Mississippi,Lamar,65081,496.57,131.0610790019534
42005,Pennsylvania,Armstrong,65069,653.321,99.59728831615699
42037,Pennsylvania,Columbia,65055,483.259,134.61725492955122
34033,New Jersey,Salem,64973,331.861,195.78377694275616
47063,Tennessee,Hamblen,64930,161.188,402.8215499913145
48347,Texas,Nacogdoches,64897,946.324,68.5779923155283
01127,Alabama,Walker,64886,791.03,82.02723031996258
39081,Ohio,Jefferson,64855,408.124,158.9100371455734
37161,North Carolina,Rutherford,64850,565.437,114.69005388752416
41011,Oregon,Coos,64832,1596.044,40.620434023122165
18173,Indiana,Warrick,64650,384.63,168.08361282271275
37105,North Carolina,Lee,64565,255.068,253.12857747737857
26073,Michigan,Isabella,64475,572.7,112.58075781386414
35005,New Mexico,Chaves,64446,6067.178,10.622071744062891
33001,New Hampshire,Belknap,64300,401.847,160.01114852170105
45043,South Carolina,Georgetown,64200,813.601,78.90845758547495
48221,Texas,Hood,64198,420.738,152.5842685947074
05115,Arkansas,Pope,63830,810.952,78.70996063885408
37167,North Carolina,Stanly,63557,395.08,160.87121595626203
37141,North Carolina,Pender,63475,871.296,72.8512468782136
26015,Michigan,Barry,62982,553.104,113.87008591512627
39083,Ohio,Knox,62888,525.499,119.67292040517678
45031,South Carolina,Darlington,62754,560.615,111.9377826137367
21125,Kentucky,Laurel,62731,433.703,144.64045671807668
47035,Tennessee,Cumberland,62529,681.306,91.77814374157867
37087,North Carolina,Haywood,62432,553.56,112.78271551412675
31079,Nebraska,Hall,62431,546.53,114.23160668215834
40047,Oklahoma,Garfield,62322,1058.507,58.87726769874927
53071,Washington,Walla Walla,62102,1270.033,48.89794202197896
08045,Colorado,Garfield,62034,2947.425,21.046845975724572
